YEAR,speciesID,cohortNum,cohortID,density,dbh,basal_diameter,height,total_biomass,agb,lai,mort,fec,rgr,gpp,
2000.04166667,1,0,0,0.000232271623786,0.024916549326,0.0251055526709,3.5181656196,1.14272189391,0.724015157503,1.8,3.21281463646e-05,0.000322928802196,0.000524660299916,0.0041097680144,
2000.04166667,1,1,0,0.000440126780796,0.0993719793204,0.0993785930103,11.6903335681,49.8413577431,33.2040024066,1.8,2.90199325084e-05,0.0401683348937,0.000151153764532,0.0041097680144,
2000.04166667,1,2,0,9.11172718831e-05,0.394935742396,0.394936855195,25.7838138724,1703.4301168,1152.6457005,1.8,7.7260076775e-05,297.315955156,3.55236639287e-05,0.0041097680144,
2000.04166667,1,3,0,2.80123464566e-09,1.57162236984,1.57162479019,29.9878145243,34390.5573642,23366.4717341,1.8,0.000367899574041,1456.07506212,8.483202493e-06,0.0041097680144,
2000.04166667,1,4,0,4.91328138189e-29,6.25608763356,6.2560972525,30,661177.708003,449667.397346,1.8,0.00211916306694,5516.95955687,1.61788647779e-06,0.0041097680144,
2000.04166667,2,0,0,0.00023227166762,0.0250266472165,0.0251344930494,4.07752051129,1.35181835456,0.842989050387,1.8,3.2086137708e-05,0.000630067543194,0.000600052405136,0.0041097680144,
2000.04166667,2,1,0,0.000440126808272,0.0994174704227,0.0994225183326,12.5097706996,53.8596194284,35.7094105221,1.8,2.90213348955e-05,0.22483086775,0.000180145275155,0.0041097680144,
2000.04166667,2,2,0,9.11172835547e-05,0.394986085511,0.39498793341,22.7136032421,1530.18685486,1034.23658349,1.8,7.72613728421e-05,351.997976618,4.40206387349e-05,0.0041097680144,
2000.04166667,2,3,0,2.80123516788e-09,1.57165654391,1.57166244303,23.9997893623,28703.6179927,19498.072908,1.8,0.000367898107854,1449.67602579,1.00571394478e-05,0.0041097680144,
2000.04166667,2,4,0,4.91328822439e-29,6.25610032419,6.25612380525,24,565994.762346,384918.205927,1.8,0.00211908018656,5590.224046,1.89676641687e-06,0.0041097680144,
2000.04166667,3,0,0,0.000232271680615,0.0251027914196,0.0251693742105,4.61933259398,1.5656417068,0.958093456948,1.8,3.20468179407e-05,0.00162813141497,0.000690826617999,0.0041097680144,
2000.04166667,3,1,0,0.000440126812338,0.0994726037479,0.0994777932736,12.4251573192,54.2502681746,35.7677517117,1.8,2.9027654615e-05,3.65679225695,0.000216566850815,0.0041097680144,
2000.04166667,3,2,0,9.11172847578e-05,0.395039098042,0.395043965187,17.8286891779,1239.0960059,836.442515139,1.8,7.72711783062e-05,329.560070495,5.33316984563e-05,0.0041097680144,
2000.04166667,3,3,0,2.80123525588e-09,1.57167430674,1.5716929444,17.9999998368,22796.4133109,15481.7358333,1.8,0.000367904824292,1309.85802697,1.13320531223e-05,0.0041097680144,
2000.04166667,3,4,0,4.91328989084e-29,6.25606785307,6.2561420405,18,464370.739586,315794.856257,1.8,0.00211906513593,5108.83504525,2.08828607107e-06,0.0041097680144,
2001,1,0,0,0.000229847173492,0.0305004312551,0.0306141095238,4.23313350779,1.96237029672,1.25667405829,1.8,2.78922501971e-05,0.000542908165303,0.000430081152224,0.00402061243932,
2001,1,1,0,0.000435625589202,0.105613443319,0.105619275982,12.2493532953,58.7917381243,39.2129720658,1.8,2.98115393965e-05,0.0523777596012,0.000138261229106,0.00402061243932,
2001,1,2,0,8.86719826045e-05,0.40083300103,0.400834109367,25.9055593585,1763.66233669,1193.49868864,1.8,7.83896920102e-05,297.666258734,3.37623218372e-05,0.00402061243932,
2001,1,3,0,0.000104431124917,0.0116472974381,0.0123011639005,1.7786624348,0.171167316467,0.103225538155,1.8,6.01061384148e-05,5.27904016408e-05,0.00088888059487,0.00402061243932,
2001,2,0,0,0.000229869617412,0.0314059110743,0.0314674389946,4.9906295599,2.46999112315,1.56286669127,1.8,2.74310345879e-05,0.00124952190155,0.000483365171734,0.00402061243932,
2001,2,1,0,0.000435614478624,0.106854848482,0.10685932609,13.1256959905,65.0253105713,43.1863679628,1.8,2.99649771959e-05,0.344638173743,0.000163579450018,0.00402061243932,
2001,2,2,0,8.86681179426e-05,0.402238845194,0.402240704891,22.7808985978,1592.81540873,1076.69765479,1.8,7.86471533005e-05,347.926935038,4.18925022714e-05,0.00402061243932,
2001,2,3,0,0.000122143158094,0.0121207609764,0.0126208180984,2.142275205,0.221462502365,0.130442645079,1.8,5.8819537746e-05,9.14043849353e-05,0.000983613931174,0.00402061243932,
2001,3,0,0,0.000229894864581,0.0324770303308,0.0325139809368,5.72858804474,3.05848972063,1.90923961712,1.8,2.69365772105e-05,0.00431938190531,0.000546147082762,0.00402061243932,
2001,3,1,0,0.000435600262832,0.10839316205,0.108397909316,12.981345429,67.0129010286,44.292374696,1.8,3.01621482175e-05,7.32638313615,0.000193626743785,0.00402061243932,
2001,3,2,0,8.86637847657e-05,0.403763629751,0.403768585762,17.8454247842,1297.39319803,875.951141329,1.8,7.89387136839e-05,326.772102346,5.05532733895e-05,0.00402061243932,
2001,3,3,0,0.000121937170087,0.0126593236434,0.0129670710111,2.55035745011,0.283826093135,0.162652689236,1.8,5.75045739687e-05,0.000185142807218,0.00109257394744,0.00402061243932,
2002,1,0,0,0.000227617494992,0.0363009348922,0.0363737895896,4.96006072177,3.14841321343,2.03281023479,1.8,2.56072016273e-05,0.000891130576822,0.000366636781043,0.00397377990784,
2002,1,1,0,0.00043085025303,0.111987032415,0.111992216443,12.8026099846,68.8806641954,45.9916151229,1.8,3.06348477682e-05,0.0697534782773,0.000129539174988,0.00397377990784,
2002,1,2,0,8.61543621308e-05,0.406813991627,0.40681509592,26.0254432293,1825.83736514,1235.67158912,1.8,7.95380888718e-05,304.486489099,3.28780623337e-05,0.00397377990784,
2002,1,3,0,0.000102449325763,0.0167785539049,0.0172366560521,2.46229746006,0.415622799486,0.25710269021,1.8,4.48367144473e-05,0.000117754039261,0.000684374500766,0.00397377990784,
2002,1,4,2001,0.000108210675436,0.0117263496698,0.0123708973166,1.7884387143,0.173699143728,0.104799910928,1.8,5.98371456563e-05,5.30204284471e-05,0.00087745701381,0.00397377990784,
2002,2,0,0,0.000227678087691,0.0381010151469,0.0381394039703,5.90738599373,4.14736248176,2.65290546069,1.8,2.51779856538e-05,0.00240605297482,0.000406579286304,0.00397377990784,
2002,2,1,0,0.000430802514702,0.114476918339,0.114480934206,13.7226850146,77.7648716949,51.7268589763,1.8,3.09544757404e-05,0.540329506623,0.000152207464724,0.00397377990784,
2002,2,2,0,8.61383047009e-05,0.409622425813,0.409624298225,22.8457926971,1657.83567977,1120.78351564,1.8,8.00653652704e-05,351.748933641,4.07803888043e-05,0.00397377990784,
2002,2,3,0,0.000119906810062,0.0180281510088,0.018264786109,3.03735785659,0.579354076813,0.352645976564,1.8,4.24972507693e-05,0.000240162992532,0.000743328921352,0.00397377990784,
2002,2,4,2001,0.00012515149189,0.0122012110373,0.0126971060878,2.15462500365,0.224917616953,0.132553665455,1.8,5.8531962834e-05,9.19876994909e-05,0.000970826414308,0.00397377990784,
2002,3,0,0,0.000227742189949,0.0403130456289,0.0403361753694,6.80903798497,5.37761005624,3.40554905654,1.8,2.47887658287e-05,0.0111510138794,0.000453104293041,0.00397377990784,
